State,Source,Case,Step,Q,SerialReturn,BatchedReturn,AbsDifference,ExactPatchSetAgreement,JaccardAgreement
16,BeamBC,17,35,4,-162.47360536223314,-162.47409057617188,0.0004852139387310217,True,1.0
17,BeamBC,1,37,4,-151.15869815353125,-151.15892028808594,0.0002221345546900011,True,1.0
18,RandomMacro,2,0,0,-14.446867105423221,-14.554366111755371,0.1074990063321497,True,1.0
18,RandomMacro,2,0,1,-15.388896230175279,-15.183140754699707,0.20575547547557171,True,1.0
18,RandomMacro,2,0,2,-14.534820415859029,-14.558273315429688,0.02345289957065866,True,1.0
18,RandomMacro,2,0,4,-15.141806797421834,-15.124431610107422,0.017375187314412344,True,1.0
19,RandomMacro,18,5,0,-36.44916756057455,-36.52442169189453,0.07525413131997993,True,1.0
19,RandomMacro,18,5,1,-36.22353085868861,-36.510074615478516,0.2865437567899036,True,1.0
19,RandomMacro,18,5,2,-34.772498138994735,-34.710697174072266,0.06180096492246889,True,1.0
19,RandomMacro,18,5,4,-36.39209955301619,-36.30952072143555,0.08257883158064061,True,1.0
20,RandomMacro,2,10,0,-25.292407026609574,-25.278671264648438,0.013735761961136461,True,1.0
20,RandomMacro,2,10,1,-25.296893933943192,-25.295608520507812,0.0012854134353794677,True,1.0
20,RandomMacro,2,10,2,-25.18451278369258,-25.209247589111328,0.024734805418749062,True,1.0
20,RandomMacro,2,10,4,-24.99380705010105,-25.006895065307617,0.013088015206566439,True,1.0
21,RandomMacro,18,15,0,-40.930979112903245,-40.91451644897461,0.01646266392863538,True,1.0
21,RandomMacro,18,15,1,-40.022034351172834,-40.10279846191406,0.08076411074122802,True,1.0
21,RandomMacro,18,15,2,-40.6036985223054,-40.59712219238281,0.006576329922587831,True,1.0
21,RandomMacro,18,15,4,-40.528592886039405,-40.55336380004883,0.024770914009422995,True,1.0
22,RandomMacro,2,20,0,-28.812877245542676,-28.79488182067871,0.017995424863965326,True,1.0
22,RandomMacro,2,20,1,-28.82619285945417,-28.823776245117188,0.0024166143369832582,True,1.0
22,RandomMacro,2,20,2,-28.48206370863298,-28.473459243774414,0.008604464858567695,True,1.0
22,RandomMacro,2,20,4,-27.727292957509132,-27.736188888549805,0.008895931040672878,True,1.0
23,RandomMacro,18,25,0,-48.186101548401886,-48.18879318237305,0.0026916339711604564,True,1.0
23,RandomMacro,18,25,1,-47.98338949335658,-47.989540100097656,0.006150606741073261,True,1.0
23,RandomMacro,18,25,2,-48.256395108800355,-48.2559814453125,0.00041366348785487617,True,1.0
23,RandomMacro,18,25,4,-48.88791726009182,-48.8890495300293,0.0011322699374787248,True,1.0
24,RandomMacro,2,30,0,-31.75760528964801,-31.757545471191406,5.9818456602300785e-05,True,1.0
24,RandomMacro,2,30,2,-32.441273894516804,-32.441192626953125,8.126756367943244e-05,True,1.0
24,RandomMacro,2,30,4,-31.906929725983385,-31.911636352539062,0.004706626555677218,True,1.0
25,RandomMacro,18,35,4,-73.6882264935321,-73.68828582763672,5.933410461977928e-05,True,1.0
26,RandomMacro,2,37,4,-91.91283704213777,-91.91288757324219,5.0531104420770134e-05,True,1.0
27,SetAwareMyopicMacro,3,0,0,-119.93049776481438,-119.55998229980469,0.3705154650096887,True,1.0
27,SetAwareMyopicMacro,3,0,1,-118.77647941883765,-119.63190460205078,0.8554251832131285,True,1.0
27,SetAwareMyopicMacro,3,0,2,-123.69464117218882,-123.98908233642578,0.2944411642369573,True,1.0
27,SetAwareMyopicMacro,3,0,4,-119.38531589298216,-120.06670379638672,0.6813879034045556,True,1.0
28,SetAwareMyopicMacro,19,5,0,-104.44528447858647,-105.17557525634766,0.7302907777611836,True,1.0
28,SetAwareMyopicMacro,19,5,1,-104.50355553815486,-104.55864715576172,0.05509161760686254,True,1.0
28,SetAwareMyopicMacro,19,5,2,-103.43999964162157,-103.24849700927734,0.19150263234422482,True,1.0
28,SetAwareMyopicMacro,19,5,4,-103.66496210659153,-104.8618392944336,1.1968771878420625,True,1.0
29,SetAwareMyopicMacro,3,10,0,-175.45870808050725,-175.4370574951172,0.021650585390062815,True,1.0
29,SetAwareMyopicMacro,3,10,1,-175.81828965868777,-175.81419372558594,0.00409593310183709,True,1.0
29,SetAwareMyopicMacro,3,10,2,-177.46004545435213,-177.50038146972656,0.040336015374435874,True,1.0
29,SetAwareMyopicMacro,3,10,4,-175.82787838395268,-176.0592498779297,0.23137149397700796,True,1.0
30,SetAwareMyopicMacro,19,15,0,-110.22477574569938,-110.3868179321289,0.16204218642953094,True,1.0
30,SetAwareMyopicMacro,19,15,1,-111.57214906761477,-111.55362701416016,0.01852205345461755,True,1.0
30,SetAwareMyopicMacro,19,15,2,-110.33305497338188,-110.06925201416016,0.2638029592217208,True,1.0
30,SetAwareMyopicMacro,19,15,4,-109.70359572100581,-109.66226959228516,0.04132612872065522,True,1.0
31,SetAwareMyopicMacro,3,20,4,-213.50291292562125,-213.60377502441406,0.10086209879281682,True,1.0
32,SetAwareMyopicMacro,19,25,4,-120.44511917164161,-120.50176239013672,0.056643218495111114,True,1.0
33,SetAwareMyopicMacro,3,30,4,-391.9852712499669,-392.0250244140625,0.03975316409560037,True,1.0
34,SetAwareMyopicMacro,19,35,4,-2798.2912261591855,-2798.297119140625,0.005892981439501455,True,1.0
35,SetAwareMyopicMacro,3,37,4,-5084.868541889523,-5084.86865234375,0.00011045422706956742,True,1.0
